MinReturn,Entropy,MaxReturn,Iteration,AveragePolicyStd,MeanKL,Perplexity,LossBefore,LossAfter,AverageDiscountedReturn,MaxKL,AverageReturn,StdReturn,NumTrajs,ExplainedVariance
-3203.18411897,1.4189385332,-1238.34676954,0,1.0,0.03303208420903077,4.13273135412,-0.011685379575548669,-0.059863676630055,-1540.29687906,0.5121531673457685,-1672.23520336,294.124861594,459,1.46327394646e-13
-3538.62915232,1.41793854678,-1246.75300364,1,0.999000513393,0.039958964520207835,4.12860074448,-0.025505424738881094,-0.04920286464921861,-1456.00887411,0.4917773128125457,-1563.64621063,224.524086634,523,-2.33993718538
-3329.65312364,1.41698300516,-1240.47923246,2,0.998046382754,0.045366667978209,4.12465757888,-0.04571962649369732,-0.07864923958978333,-1411.30230303,0.28004844333529266,-1507.36402472,204.398650247,567,0.321073914025
-1766.05280602,1.41605228631,-1243.83713472,3,0.997117914316,0.023604572311222528,4.12082046825,-0.04067048015021041,-0.06285036430567618,-1373.47093837,0.22608121086034824,-1459.08231412,105.57585522,610,0.689093447491
-1923.79092031,1.41509367715,-1228.98400242,4,0.996162525943,0.038134337257029936,4.11687210477,-0.08537610092060496,-0.10650698032537684,-1377.64052401,0.31834172847472647,-1461.71360882,104.486419968,618,0.800534909947
-1843.02725788,1.41416378951,-1241.56462166,5,0.995236637277,0.023857329930743524,4.11304565564,-0.04218004152849138,-0.06673603105323025,-1367.94807857,0.2160564763498917,-1449.52154802,106.072728631,633,0.809759620551
-1677.95530513,1.41322769996,-1242.51289212,6,0.99430544257,0.028676466685819045,4.10919727808,-0.012370406243600567,-0.01635617918928466,-1364.14751432,0.18847944352736365,-1444.74386902,103.265688715,638,0.82433634844
-1669.70059511,1.41236130268,-1247.55643709,7,0.993444352112,0.022086090211675142,4.10563862255,-0.01079976980275044,-0.013663135104941966,-1360.85944006,0.31265713640413584,-1440.72650088,103.858630736,642,0.823931694632
-1605.93044499,1.4115552104,-1241.33638261,8,0.992643866961,0.004743682879549565,4.10233043247,-0.028887633409060396,-0.029444869291460177,-1350.53233458,0.13437413042785465,-1429.5210038,108.017730861,648,0.804063198222
-1664.53270335,1.4107436247,-1246.8521817,9,0.991838578227,0.00248546775130308,4.09900239047,-0.03157887021938384,-0.032061021316086555,-1363.33475151,0.07217621366838325,-1442.90018598,105.375501591,645,0.804183283588
-1670.13511822,1.40992041751,-1232.32052718,10,0.991022425546,0.002430281514293711,4.09562945069,-0.02700660795283319,-0.028695459315948215,-1365.53802014,0.05188928126489321,-1444.94717306,107.029986129,645,0.820447177149
-1669.96695152,1.40909745804,-1236.45055976,11,0.990207189757,0.0017168816642991057,4.09226030019,0.007895767072454868,0.007755486865291451,-1369.0588962,0.021288514257728923,-1449.18871197,101.79104911,642,0.840022483396
-1672.94240814,1.40838861166,-1245.66272582,12,0.989505533692,0.0015436956394139884,4.08936054417,-0.0019520783306362683,-0.0022521913751206973,-1356.96736253,0.010913025735575335,-1436.3121989,103.609153951,646,0.820372448586
-1588.5965034,1.40774230639,-1249.32849139,13,0.98886621767,0.0030283067009881414,4.0867184228,0.01850405783392049,0.01524835144178118,-1349.23754584,0.023698797219753785,-1427.9109048,108.781956391,650,0.801024635229
-1588.5965034,1.40723368599,-1252.58676283,14,0.98836338802,0.0020757679096317476,4.08464036294,0.024893383430759756,0.023518120690722445,-1358.63573237,0.020540355050820178,-1437.65225441,109.083742209,648,0.808030679069
-1588.5965034,1.40687369349,-1255.38236454,15,0.988007648652,0.0006964291098090951,4.0831701877,-0.01068483388791505,-0.009083261449901524,-1358.47897463,0.01784087306250339,-1437.74986637,107.343319915,647,0.818004083424
-1588.5965034,1.40650889816,-1239.4703802,16,0.987647293811,0.0004007444563310944,4.08168093795,-0.011800194091581654,-0.010528419255982883,-1352.43807177,0.0035398741636368976,-1431.43998794,106.209069479,648,0.811465178144
-1588.5965034,1.40613529998,-1237.71079332,17,0.987278379488,0.0005079664305679009,4.08015631416,0.007098559290293319,0.006870552843347424,-1357.71000259,0.003919838158384623,-1436.37576933,115.03289422,650,0.796040811023
-1588.5965034,1.40582313741,-1254.82264319,18,0.986970236237,0.0005632197879760744,4.07888284088,0.004641861569452678,0.004311564959293242,-1340.03414794,0.004598498394897796,-1418.19900653,110.840168956,653,0.782798805131
-1588.5965034,1.40555718149,-1253.12153793,19,0.986707780557,0.0002845990924119182,4.07779818206,0.004639730150761877,0.0040050485287776065,-1360.33231221,0.005469770242915452,-1439.58630301,104.389300184,646,0.815902044334
-1588.5965034,1.40533320772,-1254.25122282,20,0.986486808646,0.0003263989393988903,4.07688496452,0.013168674803190016,0.012636397291170031,-1364.37114544,0.005877555988224047,-1443.95992514,103.190090656,645,0.83023103847
-1588.5965034,1.40518107618,-1230.17885464,21,0.986336744302,0.00012270988205671966,4.0762647889,-0.0006281482057371719,-0.00018620371676186524,-1358.86434623,0.0027422877026166415,-1438.11253427,106.524717077,647,0.817696694415
-1588.5965034,1.40504015962,-1256.00653515,22,0.986197762917,0.00010829798818020435,4.07569041617,0.011227989948630555,0.011059445333916621,-1362.53890918,0.006465864993035037,-1441.81090948,108.86529109,647,0.816071933171
-1588.5965034,1.40495634152,-1256.07461831,23,0.986115105158,5.4907199556762616e-05,4.07534881386,-0.009603712016080687,-0.009597045292422252,-1356.62050847,0.005980742291559066,-1435.71143083,107.804320727,648,0.81269605475
-1588.5965034,1.40484218931,-1253.03274335,24,0.986002544366,5.569502336751109e-05,4.07488363035,0.003524697632980637,0.0034111288696729515,-1360.27587491,0.003461139135649882,-1439.6178991,105.026164953,646,0.82369836698
-1588.5965034,1.40475236046,-1257.9404174,25,0.985913976863,8.066425744263547e-05,4.07451760465,-0.009786319261041957,-0.010024227009721108,-1361.54162934,0.0020011450458449903,-1440.85686072,106.235809545,646,0.819053482589
-1588.5965034,1.40463117863,-1256.48813155,26,0.985794509241,8.537025500663026e-05,4.07402387706,-0.0062219810505115235,-0.006350269274305457,-1367.11322055,0.0015240387946116648,-1447.09242653,100.073243415,643,0.841445182073
-1588.5965034,1.40449545326,-1255.45968043,27,0.985660721002,8.296313480574e-05,4.07347096621,0.00793874341246499,0.007622995002998436,-1361.88154618,0.0054144535189946,-1441.15398761,108.171795273,647,0.815653302341
-1588.5965034,1.40440480764,-1254.87829553,28,0.985571379218,5.6856914380200956e-05,4.07310174062,-0.0007349584477141681,-0.0006438229972938846,-1357.67225822,0.00305588056081129,-1436.64955532,108.649701313,648,0.80900226065
-1588.5965034,1.40431914459,-1253.32145094,29,0.985486955783,0.0001071097511930297,4.07275284124,-0.0010769620250330439,-0.0014745655704347022,-1366.57393924,0.004572576145966423,-1446.40163981,102.227996471,644,0.83582912593
-1588.5965034,1.40423653907,-1253.33623054,30,0.985405552485,0.00012173756334650591,4.07241642328,0.017384847826453227,0.017291596070630567,-1367.41685739,0.005377885656451215,-1447.0134103,106.623867137,645,0.827833768189
-1588.5965034,1.40423580053,-1256.48833375,31,0.985404824725,0.00014219466092476343,4.07241341564,0.011701085041972788,0.011366115037912542,-1361.85671526,0.003456770152860323,-1441.35075441,105.924172188,646,0.824422449846
-1588.5965034,1.40428528729,-1253.43104559,32,0.98545359042,0.00011167195954587285,4.07261495116,0.00836164174622497,0.008403256973873164,-1359.39604068,0.0036872467243730424,-1438.51080081,108.028344625,647,0.812461955693
-1588.5965034,1.40436649116,-1253.20944053,33,0.985533616322,0.00012773469899793398,4.07294567672,0.006222401325843673,0.006006700016339686,-1354.4820563,0.008121168418023256,-1433.41618279,108.05265738,648,0.807369425876
-1621.90716825,1.40446762162,-1258.03349699,34,0.985633288826,0.00014320541293266097,4.0733575964,-0.006566162153888839,-0.006759679105338001,-1360.60581544,0.009635776360144096,-1440.06019362,103.707757236,645,0.825650999003
-1621.61252512,1.40453056319,-1255.02497068,35,0.985695328088,0.0001861140718132136,4.073613988,-0.0002548821719085012,-0.0006940019049939744,-1364.66085095,0.01424037286857054,-1444.32579912,102.371339102,644,0.832457724536
-1588.5965034,1.40458673964,-1254.38365686,36,0.985750702504,0.00026467288244881755,4.07384283559,-0.015035923675369475,-0.015560736834192316,-1361.22006593,0.017881135646268503,-1440.60794806,105.471595401,646,0.822106625723
-1588.5965034,1.40456987804,-1254.4128317,37,0.985734081315,0.0002567369509917218,4.07377414468,-0.030183998435802994,-0.03046065469782477,-1359.61844788,0.017423889925852178,-1438.767421,106.712245422,647,0.815409460307
-1588.5965034,1.40442064385,-1253.99100278,38,0.985586987056,0.00033102194836641424,4.07316624362,0.0026382284934125333,0.00239863144326903,-1362.30989815,0.01257760134619286,-1441.70372284,105.1927914,646,0.824374649392
-1588.5965034,1.40429668574,-1254.22247359,39,0.985464823134,0.0005188174246677188,4.07266137295,-0.016021940680869234,-0.017299802638496647,-1358.55205573,0.01690781430179281,-1437.74905593,106.48980145,647,0.817203814685
-1588.5965034,1.40411219447,-1254.8506047,40,0.985283030241,0.000561066150579735,4.07191007176,0.003305185882692061,0.0026487484671142815,-1354.46338619,0.014642333152630485,-1433.41536308,107.009923685,648,0.810494291587
-1588.5965034,1.40395944359,-1248.45735212,41,0.985132538893,0.0006529880434974334,4.07128813145,0.01662036421738606,0.01572686948050768,-1355.5122494,0.013111048839400464,-1434.42453398,108.233122641,649,0.798550415922
-1588.5965034,1.40389764382,-1249.01524512,42,0.985071659808,0.0005970792543039588,4.07103653455,0.006856585361477715,0.0067339712184141445,-1355.75730915,0.01634992880487904,-1434.85598528,107.320963164,648,0.812777291989
-1588.5965034,1.40387323758,-1254.52405212,43,0.985047618206,0.0005081685739293016,4.07093717707,-0.015956858132980884,-0.01599943757674904,-1358.47496008,0.011695851819865658,-1437.67809942,107.967050609,647,0.815232099376
-1588.5965034,1.40377696025,-1254.79197195,44,0.984952785013,0.0004955456091952149,4.07054525695,-0.010338355483845551,-0.010707472948385003,-1359.54388077,0.016342449549066343,-1438.73022066,108.277917834,647,0.813759042602
-1588.5965034,1.40364116038,-1257.4180014,45,0.984819037635,0.0006920544735096459,4.06999251497,-0.0164414503284821,-0.017566695610490943,-1356.83150423,0.013724908877639547,-1435.81484444,108.729860666,648,0.808848701236
-1588.5965034,1.40344111322,-1256.81895736,46,0.98462204709,0.0004741754632594689,4.06917840597,-0.004537975802279261,-0.00429277408605914,-1353.62669308,0.011695533374937273,-1432.3477158,110.512574636,650,0.80262053823
-1588.5965034,1.40323775149,-1257.94016797,47,0.984421833001,0.0002747561874397016,4.06835097493,-0.006284490443878312,-0.005947464824295463,-1361.05951735,0.0050129124416539335,-1440.10973124,110.335126285,648,0.810186147787
-1588.5965034,1.40302291772,-1254.72612733,48,0.984210368667,0.0004682089130807419,4.06747704964,0.005503626664607343,0.004479842258762574,-1344.90194019,0.007886264831010788,-1423.16342917,111.059506073,652,0.785597476986
-1588.5965034,1.40285441539,-1258.03349699,49,0.984044540897,0.000507364658502286,4.06679172802,0.006160386420557172,0.005609233643409594,-1356.79753475,0.007802978136719959,-1435.88220251,107.195041862,648,0.812406974537
-1588.5965034,1.40273149012,-1251.68931154,50,0.983923584394,0.0006938913981862234,4.06629184729,0.015401645618890009,0.014252441602325009,-1357.80282525,0.005062229361274748,-1436.90925307,109.042010872,648,0.810671940835
-1588.5965034,1.4026959136,-1240.06381787,51,0.983888580437,0.0008103981893872985,4.06614718534,0.0068915711762948285,0.005929249729772822,-1357.34301549,0.0033556557435052165,-1436.58348658,104.954155131,647,0.820091694904
-1588.5965034,1.4026976887,-1258.03349699,52,0.98389032694,0.0007472621033457293,4.06615440316,-0.004621896953993535,-0.00483465287423002,-1363.94006991,0.006284847146341196,-1443.48252111,105.710331916,645,0.826454568975
-1588.5965034,1.40267625338,-1258.03349699,53,0.983869237162,0.0008482056918262391,4.06606724478,-0.01912800588040881,-0.019432473130671275,-1362.54212799,0.031360930530651684,-1441.96596835,107.277578661,646,0.822222490387
-1588.5965034,1.40256151444,-1258.03349699,54,0.983756355524,0.0007934183135911057,4.06560073529,-0.014854448485987553,-0.01461591017587811,-1353.2262315,0.03868722940869832,-1431.94937871,111.059950093,650,0.79870820575
-1588.5965034,1.40238343998,-1257.87218057,55,0.983581189234,0.0008204728438540878,4.06487682007,-0.004832259711802086,-0.005196063292691456,-1353.26073949,0.057948845906321184,-1432.33581165,106.816997444,648,0.769690483853
-1588.5965034,1.40219741015,-1258.03349699,56,0.98339823082,0.0010952279482410651,4.0641207021,0.0038140113305291296,0.002927230272496239,-1356.5457871,0.06962482742805316,-1435.53164397,109.487647154,648,0.80750247787
-1588.5965034,1.40204798504,-1258.03349699,57,0.9832512974,0.0011075186518055486,4.06351346575,0.002518881946520922,0.0017747963649300447,-1359.33691849,0.06785237461801143,-1438.32036829,110.558099791,648,0.805546376142
-1588.5965034,1.40192529074,-1258.03349699,58,0.983130665472,0.0007490338863687057,4.0630149264,0.011746982961043132,0.012192860807135818,-1352.77418264,0.056752518442466086,-1431.80952737,105.578401721,648,0.812745740125
-1588.5965034,1.40187495275,-1251.34777782,59,0.983081177901,0.0007355249738129762,4.06281040756,0.010861587189188112,0.010536814438990648,-1359.76733913,0.046922604908497346,-1439.18571672,103.337310669,646,0.822978856485
-1588.5965034,1.40188581756,-1258.03349699,60,0.983091858948,0.0005881350062092754,4.06285454946,0.0071538032254245916,0.006848248777423121,-1359.99178768,0.041836390562990475,-1439.28397909,105.565563625,647,0.819027963311
-1588.5965034,1.40193309894,-1258.03349699,61,0.983138341991,0.0006134876314095079,4.06304665139,-0.0016048808330257657,-0.0020340599370875095,-1362.60874392,0.021806050200956825,-1441.98933349,107.077407214,646,0.819111003496
-1588.5965034,1.40196753553,-1258.03349699,62,0.9831721985,0.00056834974575299,4.06318657124,-0.005713077106178561,-0.00613397760008117,-1355.21794785,0.014317428748612386,-1434.05917238,108.980135557,649,0.804593192109
-1588.5965034,1.40196839421,-1258.03349699,63,0.98317304273,0.0005531093339956624,4.06319006022,0.001984828974012929,0.0018531666879028547,-1361.07683091,0.03430546193787627,-1440.45265637,106.335267633,646,0.819749580723
-1588.5965034,1.40197980477,-1255.98968454,64,0.983184261353,0.0004700589561060888,4.06323642377,-0.0035875761444442308,-0.0036357390584706504,-1360.91884612,0.03808392729340203,-1440.35047396,107.212636305,646,0.814538738883
-1588.5965034,1.40197078957,-1256.35934891,65,0.983175397788,0.0002591959767857938,4.06319979304,-0.013425443407803257,-0.013308960942367856,-1351.30432929,0.012545206937820347,-1430.15891647,108.597125285,649,0.807397712754
-1588.5965034,1.40188991911,-1258.03349699,66,0.983095891152,0.00016592190958740794,4.06287121347,-0.0035827747723562145,-0.003466190460567718,-1354.23907158,0.010584980547327625,-1433.22388746,106.849812452,648,0.811563608436
-1588.5965034,1.40179704389,-1258.03349699,67,0.983004590152,0.00011492657370514179,4.06249389097,-0.013667363347609101,-0.013752704213687371,-1355.68409263,0.023381338164935365,-1434.29112077,112.262224268,650,0.797793957003
-1588.5965034,1.40163834653,-1258.03349699,68,0.98284860229,0.00010044165671906998,4.06184923504,-0.0026916985954288843,-0.0027068253030283133,-1374.4047043,0.01172251991297998,-1454.71620185,98.0584890383,641,0.850735031645
-1588.5965034,1.40147962494,-1258.03349699,69,0.982692615385,0.0002561411983769446,4.06120458307,0.023961232492521498,0.02356180704378532,-1374.85403016,0.03893178344725362,-1455.19832544,97.8917046416,641,0.855870393296
-1588.5965034,1.40146899297,-1258.0313121,70,0.982682167474,0.0001616767280304989,4.06116140466,-0.012447420448329593,-0.012487564131141894,-1366.74986235,0.027603348314512322,-1446.19811567,106.380258485,646,0.821921258947
-1588.5965034,1.40139084941,-1258.03349699,71,0.982605380199,0.00024288470970832468,4.06084406348,0.009138291519462957,0.008737178727591948,-1360.95773323,0.03771484851895388,-1439.9170038,110.408138805,648,0.792675979838
-1588.5965034,1.40137072912,-1258.03349699,72,0.98258561009,0.0004057136147112104,4.06076235893,0.015305364594835833,0.014708470048403208,-1354.45493549,0.042228293145753555,-1433.17000062,108.659866418,650,0.802805982002
-1588.5965034,1.40143747887,-1258.03349699,73,0.982651199624,0.0005920987097925029,4.06103342285,0.01763308734868843,0.016564733451832726,-1361.09843353,0.06099004470149057,-1440.44541547,105.650945688,646,0.821518451461
-1588.5965034,1.40159539765,-1258.03349699,74,0.982806390957,0.0007188741197187207,4.06167478694,0.01456666105708315,0.013803199979088835,-1358.11618439,0.062099241907021235,-1437.2387514,107.25746072,647,0.81519511282
-1588.5965034,1.40181886851,-1258.03349699,75,0.983026044081,0.000852302580665471,4.06258255429,0.0061757844896951665,0.004957541486297852,-1349.00854185,0.07561670968874779,-1427.53817518,109.016682639,651,0.798725829013
-1588.5965034,1.40205575972,-1257.96652519,76,0.983258941895,0.0004914918084003793,4.06354505839,-0.005979558734895354,-0.0053651194410281895,-1362.57213204,0.033456812157222016,-1442.45142378,98.9239660002,643,0.837245705767
-1588.5965034,1.40223658903,-1258.03349699,77,0.983436760014,0.00014444133306288585,4.06427993291,0.021861865019046675,0.022179151415817017,-1363.1695026,0.012752465849723551,-1442.51009719,107.595470411,646,0.821750396311
-1588.5965034,1.40252140238,-1258.03349699,78,0.983716895818,9.39964843141682e-05,4.06543765893,-0.012959592905918861,-0.012989153598491628,-1357.9121073,0.017981133162584716,-1436.87871509,110.983724061,649,0.806779129804
-1588.5965034,1.40270561053,-1258.03349699,79,0.983898121183,5.0800705804562244e-05,4.06618661467,0.004888440131228865,0.0045473693275733295,-1353.35576609,0.0021897946296339423,-1432.25535629,107.768761477,649,0.804942232787
-1588.5965034,1.40290006882,-1258.03349699,80,0.984089466934,1.4652899880240764e-05,4.06697739526,-0.012657209435547882,-0.012656138502266793,-1352.59807003,0.0012630075314123274,-1431.5499666,107.176062774,649,0.809129805882
-1588.5965034,1.40300375855,-1258.03349699,81,0.984191512196,7.098539721716145e-05,4.06739912091,-0.005592622236121917,-0.005981426759277595,-1360.91363843,0.0006165390132849089,-1440.01898508,108.263223371,648,0.813705250452
-1588.5965034,1.40306567847,-1258.03349699,82,0.984252455135,2.90748313500265e-05,4.06765098171,0.0051925161486799515,0.0051385957006031754,-1359.61239338,0.0019187239079752113,-1438.70442845,107.374129065,648,0.81535674221
-1588.5965034,1.40315155013,-1258.03349699,83,0.984336978163,4.237105428894225e-05,4.06800029267,-0.02347273471795577,-0.023587347812381584,-1360.5431899,0.011207826555837738,-1439.63488591,108.945531698,648,0.813161974281
-1588.5965034,1.40309430918,-1258.03349699,84,0.984280635393,2.2705031132475182e-05,4.06776744315,0.003277853886413509,0.0033160628526760793,-1367.97923385,0.0031732851864176848,-1447.65142916,102.88018077,644,0.834322243324
-1588.5965034,1.40306132733,-1256.69391465,85,0.984248172525,2.598407252868537e-05,4.06763328283,0.005963681811485934,0.005811294715685125,-1355.60249572,0.0013209837797470286,-1434.70462196,104.869614363,647,0.813883742259
-1588.5965034,1.40306595227,-1258.03349699,86,0.984252724632,2.0255271832200414e-05,4.06765209547,-0.017294311182361376,-0.017302488240416785,-1351.94192814,0.0009432326664299481,-1430.42884468,111.505660385,651,0.798262901929
-1588.5965034,1.40297016202,-1258.03349699,87,0.984158447331,1.1710234793850852e-05,4.06726247271,0.02311481071539124,0.023078994826867885,-1361.67183898,0.0005741365598271823,-1441.06375318,103.601100329,646,0.827190985243
-1588.5965034,1.40301732233,-1258.03349699,88,0.984204861645,4.186053615985436e-05,4.0674542906,-0.006835293866454726,-0.007170363153820158,-1356.90510302,0.010048705369046718,-1435.91905038,107.31012989,648,0.81025006429
-1588.5965034,1.40302046089,-1258.03349699,89,0.984207950633,1.9281092142669997e-05,4.06746705656,-0.019243057826540347,-0.019373046599197787,-1349.02052168,0.002048486796075541,-1427.74683331,109.418953687,650,0.798153190179
-1588.5965034,1.40291218347,-1236.5062368,90,0.9841013889,9.128579693275331e-05,4.06702666554,-0.00446759010000543,-0.005006585323549947,-1351.91738411,0.005679392075946265,-1430.73428288,106.088765062,649,0.810055449727
-1588.5965034,1.40278827472,-1258.03349699,91,0.983979457688,0.00018701923692912326,4.0665227566,-0.0015452626948156856,-0.0021014406218149728,-1358.81513832,0.04237224420372937,-1438.12283402,103.122555533,646,0.823246925448
-1588.5965034,1.40266710221,-1258.03349699,92,0.983860233643,0.00011620077596335824,4.06603003565,0.004139124589832518,0.004227990973234927,-1354.19925919,0.013258233155597834,-1433.25886108,105.257132526,648,0.813493610564
-1588.5965034,1.40258175767,-1258.03349699,93,0.983776270129,5.054918984348551e-05,4.065683037,-0.009077550877445995,-0.008818231224523434,-1361.76822523,0.006184578030006299,-1441.37631051,102.767699432,645,0.830182314168
-1588.5965034,1.40245115271,-1258.03349699,94,0.983647792466,4.4427357423209824e-05,4.06515207334,0.0024684943560272744,0.0024570954898328152,-1352.76166273,0.004094396186225209,-1431.54025142,108.638577768,649,0.806102296586
-1588.5965034,1.40234759337,-1258.03349699,95,0.983545931819,1.9944612997508653e-05,4.06473111065,0.008561885304048281,0.008436143213684594,-1352.99306233,0.0012899950693890053,-1431.86725076,107.896627679,649,0.80650991047
-1588.5965034,1.4023049388,-1258.03349699,96,0.983503979981,3.2171504622139065e-05,4.06455773497,-0.03338312576314108,-0.03370612949868241,-1361.48913323,0.0017424021094630433,-1440.88448116,105.809584313,646,0.821528411237
-1588.5965034,1.40207165739,-1258.03349699,97,0.983274573551,8.66500411619336e-05,4.06360965983,-0.0008741166238705442,-0.001140516511782759,-1348.27490143,0.003474702136283512,-1426.74215111,109.364080508,651,0.794633693059
-1588.5965034,1.4018554285,-1258.03349699,98,0.983061984169,7.310137318007802e-05,4.06273108502,-0.009837318165938266,-0.009911033870293092,-1357.49321555,0.008525370990870317,-1436.61000112,106.118002017,647,0.816452901122
-1588.5965034,1.40160201191,-1258.03349699,99,0.982812891509,3.755363065199442e-05,4.06170165197,0.010351934299916524,0.010322793354690581,-1359.08447759,0.010508665553098324,-1437.97707017,109.528482882,649,0.808266805683
